Route ID,Short Name,Long Name,Description
MTA NYCT_S91,S91,St. George - Staten Island Mall LTD,via Victory Blvd / Bradley Av (S61 Limited)
MTA NYCT_S94,S94,St. George - Staten Island Mall LTD,via Richmond Av (S44 Limited)
MTA NYCT_M106,M106,East Harlem - West Side,via 96th St / E 106th St Crosstown
MTA NYCT_S93,S93,College of Staten Island - Bay Ridge LTD,via Verrazano-Narrows / Victory
MTA NYCT_Q54,Q54,Williamsburg - Jamaica,via Jamaica Av / Metropolitan Av
MTA NYCT_S96,S96,St. George - West Shore Plaza LTD,via Castleton Av (S46 Limited)
MTA NYCT_BX8,Bx8,Williamsbridge - Locust Point,via Bronxwood Av / Williamsbridge Rd / Crosby Av
MTA NYCT_M101,M101,East Village - Fort George,via Third Av / Lexington Av / Amsterdam Av
MTA NYCT_BX7,Bx7,Riverdale - Washington Heights,via Riverdale Av / Broadway
MTA NYCT_M102,M102,Harlem - East Village,via 3rd Av / Lexington Av / Lenox Av
MTA NYCT_M103,M103,East Harlem - City Hall,via 3rd Av / Lexington Av
MTA NYCT_BX9,Bx9,Riverdale - West Farms Sq,via Broadway / Kingsbridge Rd / Southern Blvd
MTA NYCT_M104,M104,West Harlem - Times Square,via Broadway / 8th Av
MTA NYCT_M100,M100,Inwood - Harlem,via Broadway / Amsterdam Av
MTA NYCT_BX13,Bx13,George Washington Bridge - Bronx Terminal Market,via W 181st St / Ogden Av / River Av
MTA NYCT_B90,B90,F Shuttle Bus - Church Av - Stillwell Av,via McDonald Av
MTA NYCT_BX12,Bx12,Pelham Bay - Inwood,via Pelham Pkwy / Fordham Rd
MTA NYCT_B93,B93,G Shuttle Bus - Jay St / Metro Tech - Bedford Av / Nostrand Av,via DeKalb Av / LaFayette Av
MTA NYCT_BX11,Bx11,George Washington Bridge - Parkchester,via E 170th St /  E 174th St
MTA NYCT_BX10,Bx10,Riverdale - Norwood,via H. Hudson Pkwy / W 231st St / Jerome Av
MTA NYCT_B94,B94,G Shuttle Bus - Nassau Avenue - Court Square,via Jackson Av / Manhattan Av
MTA NYCT_B96,B96,2 Shuttle Bus - Flatbush Ave - Franklin Ave,via Nostrand Av/New York Av
MTA NYCT_BX19,Bx19,NY Botanical Garden - Riverbank Park,via Southern Bl / E 149th St
MTA NYCT_BX17,Bx17,Fordham Plaza - Port Morris,via Crotona Av / Prospect Av
MTA NYCT_BX16,Bx16,Pelham - Norwood,via E 233rd St / Nereid Av
MTA NYCT_BX15,Bx15,Fordham Plaza - The Hub,via 3rd Av
MTA NYCT_M14A+,M14A-SBS,Lower East Side - Abingdon Sq,Select Bus Service via 14th St / Av A
MTA NYCT_B82+,B82-SBS,Coney Island -spring Creek Towers,select Bus service via Bay Pkwy / Kings Hwy / Flatlands Av
MTA NYCT_Q77,Q77,Laurelton - Jamaica,via Springfield / Francis Lewis / Hillside Av
MTA NYCT_Q76,Q76,College Point - Jamaica,via Francis Lewis Blvd / Hillside Av
MTA NYCT_B99,B99,3 Shuttle Bus - Utica Avenue - New Lots Avenue,via Livonia Av
MTA NYCT_B98,B98,G Shuttle Bus - Bedford/Nostrand Av - Court Sq,via Jackson Av/Union Av
MTA NYCT_J90,J90,J Shuttle Bus - Crescent St - Jamaica Van Wyck Station,via Jamaica Av
MTA NYCT_M125,M125,Manhattanville - The Hub,via 125th St / Willis Av
MTA NYCT_BX35,Bx35,George Washington Bridge-West Farms Road,via E 167th / W 181st St
MTA NYCT_X68,X68,Floral Park - Midtown Manhattan Express,via Hillside Av / Queens Bl
MTA NYCT_BX34,Bx34,Woodlawn - Fordham Center,via Katonah Av / Bainbridge Av / Valentine Av
MTA NYCT_BX33,Bx33,Port Morris - Harlem,via E 138th St / W 135th St
MTA NYCT_BX32,Bx32,Kingsbridge VA Hospital - Mott Haven,via Morris Av / Jerome Av
MTA NYCT_BX31,Bx31,Woodlawn - Westchester Sq,via E 233 St / Eastchester Rd
MTA NYCT_BX30,Bx30,Co-op City Section 5 - Pelham Parkway,via Boston Rd
MTA NYCT_Q88,Q88,Elmhurst - Queens Village,via Horace Harding Expwy / 73rd Av / Springfield Blvd
MTA NYCT_BX39,Bx39,Wakefield - Clasons Pt,via White Plains Rd
MTA NYCT_X64,X64,Cambria Heights - Midtown Manhattan Express,via Linden Bl / Farmers Bl / Liberty Av
MTA NYCT_BX38,Bx38,Co-op City Bay Plaza - Norwood,via E Gun Hill Rd / Co-op City Blvd
MTA NYCT_X63,X63,Rosedale - Midtown Manhattan Express,via Merrick Bl / Francis Lewis Bl
MTA NYCT_BX36,Bx36,Soundview - George Washington Bridge,via E Tremont Av / White Plains Rd
MTA NYCT_Q83,Q83,Cambria Heights - Jamaica,via Murdock Av / Liberty Av (Local and Limited-stop Service) Av
MTA NYCT_Q85,Q85,Rosedale or Green Acres Shopping Mall - Jamaica,via Merrick Blvd / Conduit Av
MTA NYCT_Q84,Q84,Laurelton - Jamaica,via Merrick Blvd / 120th Av
MTA NYCT_BX24,Bx24,Country Club - Hutchinson Metro Center,via Westchester Av / Country Club Loop
MTA NYCT_BX22,Bx22,Bedford Park - Castle Hill,via Castle Hill Av / Fordham Rd
MTA NYCT_BX21,Bx21,Westchester Sq - Mott Haven,via Morris Park Av / Boston Rd
MTA NYCT_BX20,Bx20,Riverdale - Inwood,via Broadway / Henry Hudson Pkwy
MTA NYCT_M15+,M15-SBS,East Harlem - South Ferry,Select Bus Service via 1st Av / 2nd Av
MTA NYCT_M15,M15,East Harlem - South Ferry,via 1st Av / 2nd Av
MTA NYCT_BX29,Bx29,City Island - Pelham Bay,via City Island Rd / City Island Av
MTA NYCT_BX28,Bx28,Co-op City Section 5 - Fordham Center,via E Gun Hill Rd / Bartow Av
MTA NYCT_BX27,Bx27,Clasons Pt - Gladstone Sq,via Westchester Av / Soundview Av
MTA NYCT_BX26,Bx26,Co-op City Section 5 - Bedford Park,via Allerton Av / Co-op City Blvd
MTA NYCT_BX25,Bx25,Co-op City Bay Plaza - Bedford Park,via Allerton Av
MTA NYCT_Q92,Q92,7 Shuttle Bus - Times Square - Hudson Yards,via 42 St
MTA NYCT_M10,M10,Harlem - Columbus Circle,via Central Park West / Frederick Douglass Blvd
MTA NYCT_Q93,Q93,7 Shuttle Bus - Queensboro Plz - Vernon Bl-Jackson Av,via Jackson Av
MTA NYCT_Q96,Q96,E Shuttle Bus - 21 St/Queensbridge - Court Sq,via Jackson Av
MTA NYCT_M12,M12,Midtown West - West Village,via 11 Av / 12 Av
MTA NYCT_M11,M11,Riverbank Park & Harlem - West Village,via 9th - Columbus Av / 10th - Amsterdam Av
MTA NYCT_Q90,Q90,Q Shuttle Bus - Barclays Ctr - Prospect Park,via Flatbush Av
MTA NYCT_M86+,M86-SBS,Yorkville - West Side,Select Bus Service via 86th St Crosstown
MTA NYCT_M21,M21,Lower East Side - West Village,via Houston St Crosstown
MTA NYCT_M20,M20,Lincoln Center - South Ferry,via 7th Av / 8th Av / Battery Park City
MTA NYCT_BX41+,Bx41-SBS,Williamsbridge - The Hub,Select Bus Service via Webster Av
MTA NYCT_BX4A,Bx4A,Westchester Sq - Gladstone Sq,via Metropolitan Av / Westchester Av
MTA NYCT_M22,M22,Lower East Side - Battery Park City,via Madison St / Chambers St
MTA NYCT_SIM8X,SIM8X,S.I. Mall - Midtown Manhattan Express,via Park and Ride / 42 St
MTA NYCT_BX46,Bx46,Prospect Av - Westchester Av / Hunts Point Market,via Barretto PK
