NTAName,avg,NTA2020,date
Hell's Kitchen,16.812310270472015,MN0402,2024-12-28 19:18:22.462790
Midtown South-Flatiron-Union Square,9.462676507816461,MN0501,2024-12-28 19:18:22.462790
Midtown-Times Square,12.599955299300182,MN0502,2024-12-28 19:18:22.462790
Stuyvesant Town-Peter Cooper Village,6.910667271925605,MN0601,2024-12-28 19:18:22.462790
Gramercy,6.810767147380295,MN0602,2024-12-28 19:18:22.462790
Murray Hill-Kips Bay,12.164815048933908,MN0603,2024-12-28 19:18:22.462790
East Midtown-Turtle Bay,8.696024762971897,MN0604,2024-12-28 19:18:22.462790
United Nations,2.9674176388888887,MN0661,2024-12-28 19:18:22.462790
Upper West Side-Lincoln Square,7.0999477389401155,MN0701,2024-12-28 19:18:22.462790
Upper West Side (Central),11.74157161138705,MN0702,2024-12-28 19:18:22.462790
Upper West Side-Manhattan Valley,11.38134916902357,MN0703,2024-12-28 19:18:22.462790
Upper East Side-Lenox Hill-Roosevelt Island,3.9540741866845277,MN0801,2024-12-28 19:18:22.462790
Upper East Side-Carnegie Hill,6.603652362551418,MN0802,2024-12-28 19:18:22.462790
Upper East Side-Yorkville,4.987857798658066,MN0803,2024-12-28 19:18:22.462790
Morningside Heights,12.333647002957855,MN0901,2024-12-28 19:18:22.462790
Manhattanville-West Harlem,10.263013255992615,MN0902,2024-12-28 19:18:22.462790
Hamilton Heights-Sugar Hill,10.035591810551052,MN0903,2024-12-28 19:18:22.462790
Harlem (South),8.871278641648601,MN1001,2024-12-28 19:18:22.462790
Harlem (North),9.189145070397373,MN1002,2024-12-28 19:18:22.462790
East Harlem (South),4.86719767781518,MN1101,2024-12-28 19:18:22.462790
East Harlem (North),7.3530593737075,MN1102,2024-12-28 19:18:22.462790
Randall's Island,11.230001307189541,MN1191,2024-12-28 19:18:22.462790
Washington Heights (South),10.009825939020931,MN1201,2024-12-28 19:18:22.462790
Washington Heights (North),6.283396652488846,MN1202,2024-12-28 19:18:22.462790
Inwood,4.088767222222223,MN1203,2024-12-28 19:18:22.462790
Highbridge Park,10.691381867580365,MN1291,2024-12-28 19:18:22.462790
Inwood Hill Park,2.5888777777777774,MN1292,2024-12-28 19:18:22.462790
Central Park,6.605586188010757,MN6491,2024-12-28 19:18:22.462790
Astoria (North)-Ditmars-Steinway,4.821257291666667,QN0101,2024-12-28 19:18:22.462790
Old Astoria-Hallets Point,,QN0102,2024-12-28 19:18:22.462790
Astoria (Central),,QN0103,2024-12-28 19:18:22.462790
Astoria (East)-Woodside (North),,QN0104,2024-12-28 19:18:22.462790
Queensbridge-Ravenswood-Dutch Kills,4.022007738095239,QN0105,2024-12-28 19:18:22.462790
Rikers Island,,QN0151,2024-12-28 19:18:22.462790
Sunnyside Yards (North),,QN0161,2024-12-28 19:18:22.462790
St. Michael's Cemetery,,QN0171,2024-12-28 19:18:22.462790
Astoria Park,,QN0191,2024-12-28 19:18:22.462790
Long Island City-Hunters Point,8.411571202801827,QN0201,2024-12-28 19:18:22.462790
Sunnyside,4.021814562628371,QN0202,2024-12-28 19:18:22.462790
Woodside,5.711172385204081,QN0203,2024-12-28 19:18:22.462790
Sunnyside Yards (South),,QN0261,2024-12-28 19:18:22.462790
Calvary & Mount Zion Cemeteries,2.3158666666666665,QN0271,2024-12-28 19:18:22.462790
Jackson Heights,8.374225632086167,QN0301,2024-12-28 19:18:22.462790
East Elmhurst,4.539790606890905,QN0302,2024-12-28 19:18:22.462790
North Corona,1.8368633333333335,QN0303,2024-12-28 19:18:22.462790
Elmhurst,9.943172518992263,QN0401,2024-12-28 19:18:22.462790
Corona,8.474923155163363,QN0402,2024-12-28 19:18:22.462790
Maspeth,13.551690252180979,QN0501,2024-12-28 19:18:22.462790
Ridgewood,8.445260255728153,QN0502,2024-12-28 19:18:22.462790
Glendale,8.674830767906336,QN0503,2024-12-28 19:18:22.462790
Middle Village,12.576046350859789,QN0504,2024-12-28 19:18:22.462790
Mount Olivet & All Faiths Cemeteries,10.87719537037037,QN0571,2024-12-28 19:18:22.462790
Middle Village Cemetery,7.3389500000000005,QN0572,2024-12-28 19:18:22.462790
St. John Cemetery,13.491209895833332,QN0573,2024-12-28 19:18:22.462790
Highland Park-Cypress Hills Cemeteries (North),8.657177932098767,QN0574,2024-12-28 19:18:22.462790
Rego Park,6.834032725694444,QN0601,2024-12-28 19:18:22.462790
Forest Hills,6.21837543939394,QN0602,2024-12-28 19:18:22.462790
College Point,8.202754477513228,QN0701,2024-12-28 19:18:22.462790
Whitestone-Beechhurst,3.4663037105119825,QN0702,2024-12-28 19:18:22.462790
Bay Terrace-Clearview,5.9895391988727855,QN0703,2024-12-28 19:18:22.462790
Murray Hill-Broadway Flushing,6.658027164171747,QN0704,2024-12-28 19:18:22.462790
East Flushing,3.2591864474973775,QN0705,2024-12-28 19:18:22.462790
Queensboro Hill,5.878400134226884,QN0706,2024-12-28 19:18:22.462790
Flushing-Willets Point,7.09059590379274,QN0707,2024-12-28 19:18:22.462790
Fort Totten,2.6258527777777774,QN0761,2024-12-28 19:18:22.462790
Kissena Park,,QN0791,2024-12-28 19:18:22.462790
Kew Gardens Hills,7.560451644345238,QN0801,2024-12-28 19:18:22.462790
Pomonok-Electchester-Hillcrest,2.415919696665988,QN0802,2024-12-28 19:18:22.462790
Fresh Meadows-Utopia,3.467234836359831,QN0803,2024-12-28 19:18:22.462790
Jamaica Estates-Holliswood,4.13047389514402,QN0804,2024-12-28 19:18:22.462790
Jamaica Hills-Briarwood,6.721203095106542,QN0805,2024-12-28 19:18:22.462790
Mount Hebron & Cedar Grove Cemeteries,4.265790119047619,QN0871,2024-12-28 19:18:22.462790
Cunningham Park,4.471362678710179,QN0891,2024-12-28 19:18:22.462790
Kew Gardens,6.236997986111112,QN0901,2024-12-28 19:18:22.462790
Richmond Hill,13.973682894935752,QN0902,2024-12-28 19:18:22.462790
South Richmond Hill,9.672173535353535,QN0903,2024-12-28 19:18:22.462790
Ozone Park (North),7.360802083333333,QN0904,2024-12-28 19:18:22.462790
Woodhaven,14.790595656565657,QN0905,2024-12-28 19:18:22.462790
South Ozone Park,,QN1001,2024-12-28 19:18:22.462790
Ozone Park,,QN1002,2024-12-28 19:18:22.462790
Howard Beach-Lindenwood,6.3830012499999995,QN1003,2024-12-28 19:18:22.462790
Spring Creek Park,,QN1091,2024-12-28 19:18:22.462790
Auburndale,5.043635941638213,QN1101,2024-12-28 19:18:22.462790
Bayside,4.094982851125154,QN1102,2024-12-28 19:18:22.462790
Douglaston-Little Neck,5.912381613378685,QN1103,2024-12-28 19:18:22.462790
Oakland Gardens-Hollis Hills,3.839800713394665,QN1104,2024-12-28 19:18:22.462790
Alley Pond Park,2.6351842403628116,QN1191,2024-12-28 19:18:22.462790
Jamaica,5.726083169401688,QN1201,2024-12-28 19:18:22.462790
South Jamaica,2.618354338023088,QN1202,2024-12-28 19:18:22.462790
Baisley Park,1.654366130952381,QN1203,2024-12-28 19:18:22.462790
Springfield Gardens (North)-Rochdale Village,2.6908430306267808,QN1204,2024-12-28 19:18:22.462790
St. Albans,2.410077328337582,QN1205,2024-12-28 19:18:22.462790
Hollis,3.2259612971179417,QN1206,2024-12-28 19:18:22.462790
Glen Oaks-Floral Park-New Hyde Park,6.596936278551278,QN1301,2024-12-28 19:18:22.462790
Bellerose,4.5056073883277215,QN1302,2024-12-28 19:18:22.462790
Queens Village,3.076318512186737,QN1303,2024-12-28 19:18:22.462790
Cambria Heights,2.167265007155868,QN1304,2024-12-28 19:18:22.462790
Laurelton,2.959227568027211,QN1305,2024-12-28 19:18:22.462790
Springfield Gardens (South)-Brookville,2.6247308006535945,QN1306,2024-12-28 19:18:22.462790
Rosedale,2.7034287239583334,QN1307,2024-12-28 19:18:22.462790
Montefiore Cemetery,4.844677777777778,QN1371,2024-12-28 19:18:22.462790
Far Rockaway-Bayswater,,QN1401,2024-12-28 19:18:22.462790
Rockaway Beach-Arverne-Edgemere,,QN1402,2024-12-28 19:18:22.462790
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,QN1403,2024-12-28 19:18:22.462790
Rockaway Community Park,,QN1491,2024-12-28 19:18:22.462790
LaGuardia Airport,9.297181322751323,QN8081,2024-12-28 19:18:22.462790
Flushing Meadows-Corona Park,4.400669831649831,QN8191,2024-12-28 19:18:22.462790
